"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1839145496293814554","Fri Sep 27 23:54:17 +0000 2024","0","@Fahrihamzah disebut IKN bisa dilengkapi dengan bangunan dan fasilitas untuk menunjang tumbuhnya perekonomian. Bung @fahrihamzah syukurlah telah move on dan berdiri di depan untuk mendukung terealisirnya ibu kota IKN . Semoga pada perjalanannya era Pak @prabowo mas @gibran_tweet segera stlh","1839815858547519603","","krgusdjar","in","surakarta","0","0","0","https://x.com/krgusdjar/status/1839815858547519603","3227654089","krgusdjar"
"1839806523238953216","Fri Sep 27 23:17:11 +0000 2024","3","Lha iyalah eyang Ma'ruf Amin akan diganti mas Gibran Rakabuming Raka","1839806523238953216","","","in","","0","1","1","https://x.com/singolodra1945/status/1839806523238953216","1606576436483325952","singolodra1945"
"1839472234974552200","Fri Sep 27 23:14:58 +0000 2024","0","@AndrewsTjan Jd kesimpulannya Gibran itu anak haram Jokowi dong? Kalo dia ngaku anak Mulyono bener ngk? ","1839805966151495977","","AndrewsTjan","in","Menteng, Indonesia","0","0","0","https://x.com/IamTotoPing/status/1839805966151495977","1655848158457638912","IamTotoPing"
"1839583238240805117","Fri Sep 27 23:03:59 +0000 2024","0","@zy_zy_lestary @gibran_tweet @kaesangp @Ki_Nusantara99 @adri_7i @dika_maxelyou @IrwanResma48922 @YoYoAyo17845 Artinya mereka tdk tau malu","1839803201819959297","","zy_zy_lestary","in","","0","0","0","https://x.com/MasDuki783987/status/1839803201819959297","1764992082710847488","MasDuki783987"
"1839635803422761090","Fri Sep 27 22:31:46 +0000 2024","0","@blisonny Kalau mas Gibran aura presiden 2029","1839795093945102670","","blisonny","in","Kota Sampang,Indonesia","0","0","0","https://x.com/habibiAhmad58/status/1839795093945102670","2479301678","habibiAhmad58"
"1839578046518722958","Fri Sep 27 21:50:01 +0000 2024","0","@DedynurPalakka @gibran_tweet dg gaya bebas","1839784584277569788","","DedynurPalakka","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/mas_veel/status/1839784584277569788","1709123175450288128","mas_veel"
"1839492321777438973","Fri Sep 27 18:59:01 +0000 2024","0","@PartaiSocmed Emg d ganti dr pa maruf amin ke mas gibran","1839741550940827958","","PartaiSocmed","in","Arcamanik","0","0","0","https://x.com/iwansaptatop/status/1839741550940827958","929702551196393472","iwansaptatop"
"1839717509811056861","Fri Sep 27 17:23:29 +0000 2024","0","bagiku ini lucu. aku beli tahu tek kai beli nasi bebek. tahu tek udah jadi tp lupa minta sendok di kos ga ada blas ketinggalan semua di jkt. iseng minta ke mas nasi bebek malah dikasih sendok besi. fyi masnya muirip 96% ky gibran. after sales suangar https://t.co/RMQwoNqF43","1839717509811056861","https://pbs.twimg.com/media/GYf9UhjasAUpwAP.jpg","","in","plastic bag, rock, sharkcrocs","0","0","0","https://x.com/theechillbill/status/1839717509811056861","526257465","theechillbill"
"1839655338548867282","Fri Sep 27 16:51:38 +0000 2024","0","@msaid_didu Iri ya sama mas Gibran bisa jadi Wapres?","1839709496077365264","","msaid_didu","in","Wellington City, New Zealand","0","0","0","https://x.com/Triaswa32/status/1839709496077365264","1748434186569150464","Triaswa32"
"1839601162590490625","Fri Sep 27 16:19:00 +0000 2024","0","@tempodotco Sudah siap mengakui kalo fufufafa adalah gibran","1839701283831525754","","tempodotco","in","Homophobic dni","0","0","0","https://x.com/mastaeseung/status/1839701283831525754","1509695580351582208","mastaeseung"
